Rule id,Name,Rule Kind,Severity,Tags,CWE,OWASP Top 10:2025,Short Description,Long Description
ballerina:1,Avoid checkpanic,CODE_SMELL,MEDIUM,maintainability,CWE-248; CWE-636,A10 Mishandling of Exceptional Conditions,Using `checkpanic` lets an unhandled error panic and crash the program instead of being handled.,"The `checkpanic` expression causes the program to panic and terminate abruptly when the checked expression evaluates to an error, instead of allowing the error to be handled. Prefer `check` with explicit error handling so callers can recover instead of crashing."
ballerina:2,Unused function parameter,CODE_SMELL,INFO,maintainability,,,A function parameter is declared but never used within the function body.,"A function parameter that is declared but never referenced in the function body adds noise, misleads readers about the function's behavior, and may indicate incomplete implementation or a leftover from refactoring."
ballerina:3,Non isolated public function,CODE_SMELL,LOW,maintainability,,,"A public function is not marked `isolated`, so it cannot be safely called from concurrently executing isolated code.","A public function that is not marked `isolated` cannot be safely invoked from concurrently executing isolated code or workers without the compiler being able to prove the absence of data races, limiting how the function can be reused in concurrent contexts."
ballerina:4,Non isolated public method,CODE_SMELL,LOW,maintainability,,,"A public method is not marked `isolated`, so it cannot be safely called from concurrently executing isolated code.","A public object method that is not marked `isolated` cannot be safely invoked from concurrently executing isolated code or workers without the compiler being able to prove the absence of data races, limiting how the method can be reused in concurrent contexts."
ballerina:5,Non isolated public class,CODE_SMELL,LOW,maintainability,,,"A public class is not marked `isolated`, limiting how safely its instances can be shared across concurrent code.",A public class that is not marked `isolated` limits how safely its instances can be shared and accessed across concurrently executing isolated code or workers.
ballerina:6,Non isolated public object,CODE_SMELL,LOW,maintainability,,,"A public object type is not marked `isolated`, limiting how safely its instances can be shared across concurrent code.",A public object constructor/type that is not marked `isolated` limits how safely its instances can be shared and accessed across concurrently executing isolated code or workers.
ballerina:7,This operation always evaluates to true,CODE_SMELL,MEDIUM,maintainability,CWE-571,,A binary operation always evaluates to `true` regardless of its operands' runtime values.,"This binary operation always evaluates to `true` regardless of the runtime value of its operands, based on the semantics of the operator and a constant operand (e.g. comparisons against `int:MAX_VALUE`/`float:Infinity`, or short-circuiting with a literal `true`/`false`). This is usually unintended and indicates dead logic or a mistake in the condition."
ballerina:8,This operation always evaluates to false,CODE_SMELL,MEDIUM,maintainability,CWE-570,,A binary operation always evaluates to `false` regardless of its operands' runtime values.,"This binary operation always evaluates to `false` regardless of the runtime value of its operands, based on the semantics of the operator and a constant operand (e.g. comparisons against `int:MAX_VALUE`/`int:MIN_VALUE`/`float:Infinity`). This is usually unintended and indicates dead logic or a mistake in the condition."
ballerina:9,This operation always evaluates to the same value,CODE_SMELL,LOW,maintainability,,,"A binary operation always reduces to one of its own operands, making the operation itself redundant.","This binary operation always reduces to the value of one of its own operands regardless of the other (e.g. `a || false`, `a && true`), making the operation itself redundant and the code harder to read."
ballerina:10,This variable is assigned to itself,CODE_SMELL,LOW,maintainability,CWE-1164,,"A variable is assigned to itself, which has no effect and usually signals a mistake.","Assigning a variable to itself has no effect and is usually a mistake, such as a typo where a different variable or field was intended on one side of the assignment."
ballerina:11,Unused class private fields,CODE_SMELL,INFO,maintainability,,,A private class field is declared but never read or written outside its own declaration.,"A private class field that is never read or written outside of its own declaration serves no purpose and should be removed, as it adds maintenance overhead without contributing to the class's behavior."
ballerina:12,Invalid range expression,CODE_SMELL,LOW,maintainability,,,"A range expression's bounds never produce any elements, making it dead code.","A range expression whose lower bound is greater than (or, for the inclusive `...` operator, greater than or equal to) its upper bound never produces any elements, so any loop or operation over it is dead code."
ballerina:13,Hard-coded secrets are security-sensitive,VULNERABILITY,HIGH,security,CWE-798,A07 Authentication Failures,"A secret such as a password, API key, or token is embedded as a literal value in source code.","Embedding secrets such as passwords, API keys, or tokens directly as literal values in source code exposes them to anyone with access to the codebase or its version history, and makes rotating a compromised secret require a code change and redeploy."
ballerina:14,Non configurable secrets are security-sensitive,VULNERABILITY,MEDIUM,security,CWE-798,A07 Authentication Failures,A secret is assigned a fixed value instead of being exposed as a configurable one.,A secret that is assigned a fixed value rather than being exposed as a configurable value forces the same secret to be reused across environments and prevents it from being rotated or overridden without modifying and redeploying the code.
ballerina/crypto:1,Avoid using insecure cipher modes or padding schemes,,,,CWE-327; CWE-780,A04 Cryptographic Failures,Avoid using insecure cipher modes or padding schemes,
ballerina/crypto:2,Avoid using fast hashing algorithms,,,,CWE-916; CWE-327,A04 Cryptographic Failures,Avoid using fast hashing algorithms,
ballerina/crypto:3,Avoid reusing counter mode initialization vectors,,,,CWE-323,A04 Cryptographic Failures,Avoid reusing counter mode initialization vectors,
ballerina/file:1,Avoid using publicly writable directories for file operations without proper access controls,,,,CWE-377; CWE-379,A01 Broken Access Control,Avoid using publicly writable directories for file operations without proper access controls,
ballerina/file:2,File function calls should not be vulnerable to path injection attacks,,,,CWE-22,A01 Broken Access Control,File function calls should not be vulnerable to path injection attacks,
ballerina/http:1,Avoid allowing default resource accessor,,,,CWE-352,A01 Broken Access Control,Avoid allowing default resource accessor,
ballerina/http:2,Avoid permissive Cross-Origin Resource Sharing,,,,CWE-942,A02 Security Misconfiguration,Avoid permissive Cross-Origin Resource Sharing,
ballerina/http:3,Server-side requests should not be vulnerable to traversing attacks,,,,CWE-918,A01 Broken Access Control,Server-side requests should not be vulnerable to traversing attacks,
ballerina/http:4,HTTP request redirections should not be open to forging attacks,,,,CWE-601,A01 Broken Access Control,HTTP request redirections should not be open to forging attacks,
ballerina/io:1,I/O function calls should not be vulnerable to path injection attacks,,,,CWE-22,A01 Broken Access Control,I/O function calls should not be vulnerable to path injection attacks,
ballerina/log:1,Potentially-sensitive configurable variables are logged,,,,CWE-532,A09 Security Logging and Alerting Failures,Potentially-sensitive configurable variables are logged,
ballerina/os:1,Avoid constructing system command arguments from user input without proper sanitization,,,,CWE-78; CWE-88,A05 Injection,Avoid constructing system command arguments from user input without proper sanitization,
ballerina/os:2,Avoid constructing environment variables from user input without proper sanitization,,,,CWE-88; CWE-454,A05 Injection; A06 Insecure Design,Avoid constructing environment variables from user input without proper sanitization,
ballerina/jwt:1,Avoid using weak cipher algorithms when signing and verifying JWTs,,,,CWE-327; CWE-347,A04 Cryptographic Failures,Avoid using weak cipher algorithms when signing and verifying JWTs,
